"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RNF114",0.370334213194868,0.105194705693177,3.73193189075169,0.000223593461961429,0.00085331504148639,-0.443359911791241
"GYPC",-0.491693053690824,-0.635687838210787,-3.7316683399268,0.000223818041156152,0.00085331504148639,-0.44430168907833
"DHCR24",0.862527737157275,-0.491201423021979,3.7316271001887,0.000223853201956101,0.00085331504148639,-0.444449050375362
"TMEM199",0.554408324601567,-0.308936054523259,3.73145615969342,0.000223999000537562,0.000853361347513327,-0.445059853359447
"NOB1",0.39313482904273,0.101757867430669,3.73095382675481,0.000224427968762135,0.000854485736759828,-0.446854635948949
"GOT2",0.681057718400163,-0.329644184607966,3.72779869708736,0.000227140060885701,0.000864296358018595,-0.458122504372749
"HSD17B4",0.483179713474297,-0.07216410856281,3.72652533556886,0.000228243347178568,0.000867915588946435,-0.462667560520433
"RPUSD2",0.2845370723076,0.108584292667742,3.72638750855573,0.000228363068039156,0.000867915588946435,-0.4631594259631
"TTC8",-0.327924714514282,-0.282728957474879,-3.72575544687953,0.000228912855331729,0.000869487555796008,-0.465414860322944
"LCP2",0.415807453137682,0.0379268044917396,3.72461223300383,0.000229910430152935,0.000872757489016938,-0.469493385277139
"RRAS2",-0.468418762358735,-0.502844580290569,-3.72321509631245,0.000231135144730897,0.000876885263878061,-0.474476242107845
"PGLYRP1",0.756870454710623,-0.447231362045528,3.72192285248582,0.000232273384111052,0.000880680259827237,-0.479083471183714
"OSBPL1A",-0.334816944975486,-0.39325502801472,-3.72154999187195,0.00023260278970073,0.00088122107242694,-0.480412555577407
"CHI3L1",0.777288012628351,-0.425797088153314,3.72144904408662,0.000232692048255571,0.00088122107242694,-0.480772369058625
"TPM4",-0.659582878981028,-0.12909058993557,-3.7209625585908,0.000233122654181381,0.000882328480704279,-0.482506249001427
"HNRNPD",0.442445821744559,0.277191319236103,3.71912340791466,0.000234757350286726,0.000887989147855893,-0.489059271552573
"DUS3L",0.382569556963665,0.0679262705986211,3.71199989288213,0.000241191494150583,0.000911786672677011,-0.514412740850096
"UCKL1",0.261731540756753,0.131069633488108,3.71085842313349,0.00024223782138016,0.000915200289652261,-0.518471217464922
"EXOC7",-0.204135996395,0.053874048716717,-3.7096697114304,0.000243331998850462,0.000918790545629922,-0.522696441848786
"AGR3",-1.00191038238277,-0.580135335689071,-3.70904282005961,0.000243910909771238,0.000920432127003166,-0.524924198707964
"UBAC1",-0.316635758310044,-0.445209292396202,-3.70859608753777,0.000244324242395302,0.000921447305194331,-0.526511521517124
"CISD3",-0.599078710659104,-0.10595301237168,-3.70611562458758,0.000246631286602869,0.000929599034804794,-0.535321863390037
"NUDT16L1",-0.359521201005491,0.113122742977757,-3.70171050135891,0.000250779107335121,0.00094467528043348,-0.550955028200689
"THG1L",-0.300215763412269,-0.0529024900671575,-3.701055292831,0.000251401631093484,0.000946461918945693,-0.553278810061856
"UPF3B",0.263150846018411,0.150470873122652,3.70014290612172,0.000252270929362871,0.00094917494636531,-0.556514077160349
"RNF185",0.410682666116465,-0.115459831381896,3.69483886609234,0.000257380824057926,0.000967830719440434,-0.575307339757272
"RACGAP1",0.643926266962933,-0.0900554967679963,3.69312374875033,0.000259053915421785,0.000973548705101883,-0.581379031076432
"PRKAG1",-0.287966643694168,0.0299781089634669,-3.69249955711063,0.000259665350755451,0.000975272508572678,-0.58358808952108
"PADI4",0.873022716123677,-0.634329113219984,3.69206692248432,0.00026008994111565,0.000976292930054925,-0.585119012459765
"PREB",0.283548332569527,0.00406172361648745,3.69179939812512,0.000260352818314787,0.000976705490563992,-0.586065592807619
"RFTN1",0.407552861444656,-0.117403478229204,3.69116359356148,0.000260978582783847,0.000977946700003506,-0.588315004165477
"RARRES2",-0.477249323471531,-0.134381550386608,-3.69115200224379,0.000260990004198273,0.000977946700003506,-0.58835600974897
"AGPAT3",0.420298758652106,-0.175444090609474,3.68961812901919,0.000262505554185736,0.000983048658930159,-0.593781212246299
"NDUFAF3",0.330607010320855,-0.0249021458221133,3.68780771394286,0.000264305006790687,0.00098920719130043,-0.600181853003988
