"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GBA2",0.261976453896783,-0.342484650301886,2.97978824463853,0.0030979120505262,0.0096300722700145,-2.89833006758425
"RWDD4",0.243302289006337,0.0875381513817039,2.9794821861946,0.00310092641661318,0.00963475190757915,-2.89921653320203
"CDK9",0.207891065418619,0.225951258142043,2.97756552166263,0.00311986479425886,0.00968887972341576,-2.9047659855287
"AVEN",0.286947962403966,0.170987118550926,2.97713865176914,0.00312409705160558,0.00969730659917436,-2.90600147094317
"SDC1",0.413940239343266,0.0125641493680401,2.97632068161289,0.00313222161770944,0.00971430131044596,-2.90836844510189
"MECP2",-0.252956154717544,-0.293739700383276,-2.9762811316942,0.00313261494098798,0.00971430131044596,-2.90848287575399
"TRABD",0.257854356937088,0.0585297648333882,2.97585915181249,0.00313681434056276,0.0097226017303365,-2.90970370974985
"PTGES3",0.224124656198629,0.203419810690469,2.97442838734928,0.00315109122081408,0.00976211423818434,-2.91384184698211
"TBCC",0.196088709260034,0.0244421088721275,2.97312055348917,0.0031641934650748,0.00979769645536565,-2.91762278760665
"SHROOM1",0.384035699422401,-0.225349311448486,2.97297590047649,0.00316564569889105,0.00979769645536565,-2.91804088189756
"PPIC",0.395664244900584,0.498285553831375,2.96919174778834,0.00320385391342083,0.00991114691724419,-2.92897146556263
"NUDT4",-0.335636987691134,0.136646481520202,-2.96748517837907,0.0032212227115635,0.00996005182243727,-2.93389660039614
"ELOA",0.274768401061468,0.0278318652629159,2.96723936896102,0.00322373155321948,0.00996298449530802,-2.93460578170878
"MRPL19",0.297651850947138,0.172513371094272,2.96596565908634,0.00323676027934099,0.00999841044198947,-2.93827965235989
"DNAJC21",0.254294465287325,0.0727319233252746,2.96276332771246,0.0032697299847382,0.0100953703832463,-2.94750980557201
"GTF2E2",0.280890185560639,0.332390054837123,2.96241785119956,0.00327330515474387,0.0101015241242337,-2.9485050155356
"MRPS11",0.260968210403535,0.188185764627094,2.96145635445818,0.00328327406205366,0.010127393664837,-2.95127420819691
